"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","72","com.google.gson.functional.ArrayTest.testNullsInArraySerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","73","com.google.gson.functional.CollectionTest.testWildcardPrimitiveCollectionSerilaization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","74","com.google.gson.functional.CustomTypeAdaptersTest.testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","75","com.google.gson.DefaultMapJsonSerializerTest.testNonEmptyMapSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","76","com.google.gson.functional.EnumTest.testCollectionOfEnumsSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","77","com.google.gson.GsonTypeAdapterTest.testDeserializerForAbstractClass [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","78","com.google.gson.functional.ObjectTest.testClassWithNoFieldsSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","52","com.google.gson.functional.CircularReferenceTest.testSelfReferenceCustomHandlerSerialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","79","com.google.gson.functional.PrimitiveTest.testBooleanDeserialization [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"1830","1","| gin.edit.line.DeleteLine /home/a1600128/fast/ginnoroot/ginexp/casestudies/gson/./gson/src/main/java/com/google/gson/Gson.java:453 |","4","80","com.google.gson.functional.InstanceCreatorTest.testInstanceCreatorForCollectionType [gson]","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
